shoulder_lift_offset_deg,n_paired_trials,smolvla_successes,smolvla_success_rate_pct,smolvla_wilson95_low_pct,smolvla_wilson95_high_pct,pi05_successes,pi05_success_rate_pct,pi05_wilson95_low_pct,pi05_wilson95_high_pct,pi05_minus_smolvla_pp,both_success,smolvla_only,pi05_only,both_fail,mcnemar_exact_two_sided_p,bonferroni_adjusted_p,significant_after_bonferroni_0_05,favored_model
-6.0,45,1,2.2222222222222223,0.3933598882833428,11.56668176841488,20,44.44444444444444,30.938930034997586,58.82386550647895,42.22222222222222,1,0,19,25,3.814697265625e-06,1.9073486328125e-05,True,pi05
-5.0,45,1,2.2222222222222223,0.3933598882833428,11.56668176841488,19,42.22222222222222,28.9687024672703,56.69921129079686,40.0,1,0,18,26,7.62939453125e-06,3.814697265625e-05,True,pi05
-4.0,45,3,6.666666666666667,2.293203259925099,17.856601963591896,19,42.22222222222222,28.9687024672703,56.69921129079686,35.55555555555556,2,1,17,25,0.00014495849609375,0.00072479248046875,True,pi05
5.0,45,31,68.88888888888889,54.33519442263318,80.47130073634659,10,22.22222222222222,12.544685532626396,36.269292174756295,-46.666666666666664,3,28,7,7,0.0005082604475319386,0.0025413022376596928,True,smolvla
6.0,45,28,62.22222222222222,47.62993448088954,74.8919153278621,8,17.77777777777778,9.294389514104148,31.329824626459768,-44.44444444444444,6,22,2,15,3.5881996154785156e-05,0.00017940998077392578,True,smolvla
