shoulder_lift_offset_deg,noise_seed,n_variations,smolvla_successes,smolvla_success_rate_pct,pi05_successes,pi05_success_rate_pct,pi05_minus_smolvla_pp
-6.0,20261002,15,0,0.0,8,53.333333333333336,53.333333333333336
-6.0,20261003,15,1,6.666666666666667,12,80.0,73.33333333333333
-6.0,20261004,15,0,0.0,0,0.0,0.0
-5.0,20261002,15,0,0.0,9,60.0,60.0
-5.0,20261003,15,1,6.666666666666667,10,66.66666666666666,60.0
-5.0,20261004,15,0,0.0,0,0.0,0.0
-4.0,20261002,15,1,6.666666666666667,7,46.666666666666664,40.0
-4.0,20261003,15,1,6.666666666666667,12,80.0,73.33333333333333
-4.0,20261004,15,1,6.666666666666667,0,0.0,-6.666666666666667
5.0,20261002,15,10,66.66666666666666,2,13.333333333333334,-53.333333333333336
5.0,20261003,15,7,46.666666666666664,8,53.333333333333336,6.666666666666667
5.0,20261004,15,14,93.33333333333333,0,0.0,-93.33333333333333
6.0,20261002,15,10,66.66666666666666,1,6.666666666666667,-60.0
6.0,20261003,15,8,53.333333333333336,7,46.666666666666664,-6.666666666666667
6.0,20261004,15,10,66.66666666666666,0,0.0,-66.66666666666666
