policy,successes,n,success_rate,wilson95_low,wilson95_high,max_lift_mm_mean,clip_count_mean
frozen_base,3,45,0.06666666666666667,0.022932032599250987,0.17856601963591895,16.736308430042442,139.93333333333334
no_response,0,45,0.0,0.0,0.07865159873288836,-0.10775541945946729,5.7555555555555555
pointwise_kd,0,45,0.0,0.0,0.07865159873288836,-0.09545775729365652,14.133333333333333
response_target,0,45,0.0,0.0,0.07865159873288836,0.10077001038039533,14.755555555555556
